company_name,website_url,business_description,main_products_services,talent_values,ceo_message,crawl_success,error
CJ ENM,https://www.cjenm.com,"CJ ENM은 글로벌 종합 콘텐츠 기업으로, 다양한 장르의 방송 채널을 통해 K콘텐츠를 제공하며, 음악, 영화, 공연 예술, 디지털 비즈니스, 애니메이션 등 다양한 분야에서 활동하고 있습니다.",TV Shows|Music|Film|Performing Arts|Digital Business|Animation,"공감력, 독창성, 사명감",,True,
CJ대한통운,http://www.cjlogistics.com,,,,,True,
FF,https://twitter.com,,,,,True,
Fount,https://www.fount.co,파운트는 모든 이들의 경제적 자유를 위한 투자 자문 서비스를 제공합니다. 사람들의 더 쉬운 자산 관리를 위해 파운트 앱 서비스를 운영하고 있습니다.,파운트투자자문|파운트 앱 서비스,,,True,
JYP엔터테인먼트,https://www.jype.com,"JYP엔터테인먼트는 K-pop 아티스트의 음악과 콘텐츠를 제작하고 배급하는 회사입니다. 다양한 아티스트의 앨범과 싱글을 발매하며, 글로벌 팬들과 소통하는 플랫폼을 제공합니다.",음악 앨범|콘서트 및 공연,,,True,
LIG시스템,https://www.ligs.co.kr,"LIG시스템은 2004년 LIG그룹의 ICT 전문 기업으로 설립되어 고객만족과 신뢰를 최우선 가치로 생각하며 모든 산업분야에 걸쳐 시스템 통합(SI), ICT 아웃소싱, IT컨설팅, 솔루션 도입 등 최적의 ICT서비스를 제공해 왔습니다. 특히, 공공 정보화 시장에서 차세대 시스템 구축 및 대형 유지보수 사업 수행 경험을 바탕으로 고객으로부터 지속적 신뢰를 받고 있습니다.",IT 서비스|클라우드|솔루션 개발,LIG시스템 구성원은 누구나 하나된 가치를 공유합니다. 개방과 긍정의 자세로 끊임없는 혁신 추구를 통해 지속 성장하는 LIG 人,지속적인 'Innovation'을 통해 고객의 성장을 보장하겠습니다.,True,
NAVER IS,https://www.whatismybrowser.com,,,,,True,
NICE정보통신,https://www.nicevan.co.kr,"NICE정보통신은 오프라인 및 온라인 결제 서비스를 제공하는 기업으로, 국내 최대 결제 네트워크를 기반으로 빠르고 안정적인 결제 솔루션을 제공합니다. 다양한 간편결제와 글로벌 연동이 가능한 온라인 결제 플랫폼도 운영하고 있습니다.",오프라인 결제 서비스|온라인 결제 플랫폼,,,True,
NX3GAMES,http://nx3games.com,NX3GAMES는 업계 최고 수준의 MMORPG 개발/사업 경험을 가진 멤버들이 모여 있는 MMORPG 전문 게임 개발 회사입니다. 2019년 '로한M'의 성공을 넘어 2024년 7월 '로드나인'을 출시하며 대한민국 1위를 기록하고 있습니다.,로한M|로드나인,신뢰를 바탕으로 서로를 아끼고 존중하는 문화,,True,
SK AX,https://www.skax.co.kr,"SK AX는 AI를 통해 기업 운영 방식을 혁신하고, 전사 최적화를 통해 새로운 성장 가치를 창출하는 것을 목표로 하는 글로벌 AX 서비스 회사입니다. 다양한 산업군의 경영진과 협력하여 AI 기반의 비즈니스 모델 혁신을 지원합니다.",AXgenticWire|AI 증강 서비스,"AI와 협업 가능한 인재를 육성하고, 이를 지지하는 조직문화와 시스템을 만들어야 한다.",기업의 경쟁력은 AI를 통한 전사 최적화를 통해 새로운 성장 가치를 창출하는 데 있다.,True,
SK텔레콤,https://shop.tworld.co.kr,,,,,True,
Upstage,https://www.upstage.ai,"Upstage is focused on building high-performance AI solutions for various industries, emphasizing accuracy and reliability. Their technology includes document parsing, information extraction, and enterprise-grade language models tailored for specific business needs.",Upstage Studio|Solar LLM|Upstage OCR,,,True,
