input,dart,corp_code,stock_code,type
CJ ENM,CJ ENM,00265324,035760,동일
CJ대한통운,CJ대한통운,00113410,000120,동일
파운트,파운트,01627406,,동일
JYP Ent.,JYP Ent.,00258689,035900,동일
엘아이지시스템,엘아이지시스템,00833213,,동일
네이버아이앤에스,네이버아이앤에스,00863597,,동일
나이스정보통신,나이스정보통신,00264945,036800,동일
엔엑스쓰리게임즈,엔엑스쓰리게임즈,01453388,,동일
SK텔레콤,SK텔레콤,00159023,017670,동일
업스테이지,업스테이지,01786541,,동일
케이티디에스,케이티디에스,00689436,,동일
갤럭시아머니트리,갤럭시아머니트리,00587457,094480,동일
골드앤에스,골드앤에스,00249502,035290,동일
골프존커머스,골프존커머스,01082409,,동일
교보자산신탁,교보자산신탁,00255196,,동일
구름,구름,01786985,,동일
그라비티,그라비티,00444019,,동일
그린잇,그린잇,01748426,,동일
나날에스엠아이,나날에스엠아이,01928095,,동일
나라원시스템,나라원시스템,01597336,,동일
낙스넷,낙스넷,00331900,,동일
넛지헬스케어,넛지헬스케어,01502578,,동일
넥스트레벨스튜디오,넥스트레벨스튜디오,01609570,,동일
넷마블,넷마블,00904672,251270,동일
누리플렉스,누리플렉스,00269889,040160,동일
뉴셀렉트,뉴셀렉트,02002330,,동일
니즈게임즈,니즈게임즈,01732610,,동일
다올투자증권,다올투자증권,00156859,030210,동일
다이퀘스트,다이퀘스트,01535327,,동일
닥터소프트,닥터소프트,01950702,,동일
달콤소프트,달콤소프트,01450743,,동일
더그림엔터테인먼트,더그림엔터테인먼트,01716463,,동일
데이터유니버스,데이터유니버스,01742936,,동일
데일리페이,데일리페이,02023315,,동일
동명기술공단종합건축사사무소,동명기술공단종합건축사사무소,00115205,,동일
디딤,디딤,01138276,,동일
디아이티,디아이티,00576798,110990,동일
디지털대성,디지털대성,00398808,068930,동일
디투이노베이션,디투이노베이션,01739747,,동일
디포커스,디포커스,01497902,,동일
라이프스타일프로젝트,라이프스타일프로젝트,01765122,,동일
레몬헬스케어,레몬헬스케어,01424261,,동일
레진엔터테인먼트,레진엔터테인먼트,01229994,,동일
렉스몬드,렉스몬드,00864921,,동일
로보티즈,로보티즈,00946030,108490,동일
리드코프,리드코프,00117708,012700,동일
리디,리디,01083587,,동일
리서치알음,리서치알음,01664276,,동일
리안,리안,01367577,,동일
마크로젠,마크로젠,00261373,038290,동일
매그넘빈트,매그넘빈트,01297010,,동일
매드업,매드업,01379129,,동일
맨파워코리아,맨파워코리아,00664871,,동일
메가스터디교육,메가스터디교육,01074862,215200,동일
메가존,메가존,01073465,,동일
메타빌드,메타빌드,00670632,,동일
멸치,멸치,01780219,,동일
미디어로그,미디어로그,00294973,,동일
미리디,미리디,01454387,,동일
미미박스,미미박스,01129621,,동일
베스트소프트,베스트소프트,00335483,,동일
베스핀글로벌,베스핀글로벌,01377574,,동일
베이글코드,베이글코드,01306460,,동일
보고정보시스템,보고정보시스템,01456437,,동일
보람상조개발,보람상조개발,00480792,,동일
부뜰정보시스템,부뜰정보시스템,00560715,,동일
뷰노,뷰노,01344202,338220,동일
브릭,브릭,01793666,,동일
브이엔티지,브이엔티지,01498080,,동일
브이티더블유,브이티더블유,01478208,,동일
블루어드,블루어드,01259995,,동일
비아이매트릭스,비아이매트릭스,01462739,413640,동일
비와이엔블랙야크,비와이엔블랙야크,00520850,,동일
비욘드테크,비욘드테크,01539031,,동일
비인텍,비인텍,01663675,,동일
비케이브,비케이브,01461509,,동일
비트컴퓨터,비트컴퓨터,00231707,032850,동일
빅게임스튜디오,빅게임스튜디오,01719600,,동일
새하컴즈,새하컴즈,01632295,,동일
성진하이텍,성진하이텍,01829110,,동일
세송아이티,세송아이티,01947896,,동일
세아상역,세아상역,01110757,,동일
세중,세중,00264671,039310,동일
소프트닉스,소프트닉스,00914226,,동일
슈퍼센트,슈퍼센트,01817647,,동일
스냅컴퍼니,스냅컴퍼니,01922295,,동일
시스포유,시스포유,00779216,,동일
시큐아이,시큐아이,00294511,,동일
신보,신보,01026078,,동일
신세계까사,신세계까사,00250599,,동일
쓰리빌리언,쓰리빌리언,01506617,394800,동일
쓰리아이,쓰리아이,01655445,,동일
씨넥스존,씨넥스존,01463084,,동일
씨앤테크,씨앤테크,01824300,,동일
씨에스리,씨에스리,01564541,,동일
씨에스피아이,씨에스피아이,01387377,,동일
씨에이에스,씨에이에스,01448571,,동일
씨티케이,씨티케이,01144028,260930,동일
씽크풀,씽크풀,00355380,,동일
아워박스,아워박스,01561359,,동일
아이디알시스템,아이디알시스템,01748754,,동일
아이디에스앤트러스트,아이디에스앤트러스트,00339197,,동일
아이서티,아이서티,01362475,,동일
아이씨티웨이,아이씨티웨이,01469671,,동일
아이아이컴바인드,아이아이컴바인드,01134410,,동일
아이엔소프트,아이엔소프트,00656146,,동일
아이투맥스,아이투맥스,01075038,,동일
아이파트너즈,아이파트너즈,01368460,,동일
아임유,아임유,01563199,,동일
알라딘커뮤니케이션,알라딘커뮤니케이션,00617235,,동일
알체라,알체라,01405451,347860,동일
애드이피션시,애드이피션시,01451168,,동일
애드쿠아인터렉티브,애드쿠아인터렉티브,00988586,,동일
앱솔브랩,앱솔브랩,01921621,,동일
어니컴,어니컴,01030327,,동일
어빌리티시스템즈,어빌리티시스템즈,01020418,,동일
어썸엔터테인먼트,어썸엔터테인먼트,02021122,,동일
에스더블유엠,에스더블유엠,01473416,,동일
에스앤에프솔루션,에스앤에프솔루션,01637360,,동일
에스큐아이소프트,에스큐아이소프트,00619482,,동일
에스티에이테스팅컨설팅,에스티에이테스팅컨설팅,01730436,,동일
에스피테크놀러지,에스피테크놀러지,01016354,,동일
에이아이매틱스,에이아이매틱스,00841045,,동일
에이앤유디자인그룹건축사사무소,에이앤유디자인그룹건축사사무소,00806626,,동일
에이케이아이에스,에이케이아이에스,00654591,,동일
에프앤가이드,에프앤가이드,00331016,064850,동일
엑소코바이오,엑소코바이오,01279157,,동일
엑스퍼트컨설팅,엑스퍼트컨설팅,01461998,,동일
엔디에스,엔디에스,00219875,,동일
엔아이티서비스,엔아이티서비스,01246797,,동일
엔에이치엔페이코,엔에이치엔페이코,01206896,,동일
엔키화이트햇,엔키화이트햇,01795859,,동일
엘프프로페셔널,엘프프로페셔널,01832992,,동일
엠아이큐브솔루션,엠아이큐브솔루션,01497142,373170,동일
엠엠피아이,엠엠피아이,01557949,,동일
엠티에스컴퍼니,엠티에스컴퍼니,02018933,,동일
오버데어코리아,오버데어코리아,01807695,,동일
오비맥주,오비맥주,00254911,,동일
오션블루,오션블루,01304851,,동일
오션스바이오,오션스바이오,01860010,332190,동일
오토앤,오토앤,01084294,353590,동일
오픈테크,오픈테크,00415293,,동일
옴니케어,옴니케어,01914144,,동일
와이엘피,와이엘피,01420414,,동일
와이즈스톤티,와이즈스톤티,01729351,,동일
우리에프아이에스,우리에프아이에스,00378947,,동일
원오원,원오원,01836183,,동일
위밋모빌리티,위밋모빌리티,01909692,,동일
위즈코리아,위즈코리아,01634114,,동일
위킵,위킵,01563579,,동일
위펀,위펀,01627619,,동일
윈스,윈스,01298019,,동일
유니디아,유니디아,01371604,,동일
유니온플레이스,유니온플레이스,01839506,,동일
유라클,유라클,00407294,088340,동일
유밥,유밥,01628690,,동일
유브릿지,유브릿지,01649462,,동일
유알피,유알피,01505265,,동일
유엔터스,유엔터스,01508165,,동일
유코카캐리어스,유코카캐리어스,00436144,,동일
이너스,이너스,01963618,,동일
